id,nome,setor,valores,etapas
1,Aramis,Moda,"paixao, atitude e afeto","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
2,Mars,Alimentos,"Qualidade, Responsabilidade, Mutualidade, Eficiência e Liberdade","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
3,Vivo,telecomunicação,"digitalização, conectividade e sustentabilidade","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
4,Casas Bahia,Comercio Varejista,"Integridade, Transparência e Respeito, Diversidade e Inclusão, Dedicação Total a Você","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
5,Extreme Group,hub tecnologia,"Curta a jornada, Simplifique, Faça do jeito certo e Colabore. A ética, a integridade e a transparência","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
6,Motiva,hub mobilidade,"Integridade, Integração e Impacto","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
7,Mondelez,Alimentos/Snacks,"transparência, atitude de dono, inclusão e liderança","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
8,Braskem,Químico/Petroquímico,"Integridade, transparência, pessoas, sustentabilidade","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
9,Bradesco,Bancário,"O cliente é a razão de ser do Banco, Ética em todas as atividades e relacionamentos, Transparência nas informações, Crença no valor e no desenvolvimento das pessoas, Respeito à diversidade e à dignidade humana, Responsabilidade socioambiental e foco em sustentabilidade","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
10,Afry,Serviços Engenharia,"coragem (pensar grande, incentivar o empreendedorismo e defender decisões ousadas) e dedicação","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
11,Banco Sofisa,Bancário,"Cultura Data Driven, Melhoria Contínua, alta performance, ambiente colaborativo, ética e respeito, experiência mágica","Inscrição, testes(lógico/inglês), teste(Excel), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
12,BioAroeira,Energia,"Valorização do ser humano, comprometimento social e ambiental e a busca contínua pelo desenvolvimento","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
13,Kora,Saúde,"Acolhimento, sustentabilidade, além de forte compromisso com a ética, integridade e transparência na condução dos negócios","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
14,Lactalis,Alimentos e Bebidas,"Ambição: Busca contínua por inovação, excelência e metas ousadas.Engajamento: Comprometimento, responsabilidade com a equipe, resiliência e atitude empreendedora.Simplicidade: Foco na clareza, transparência e eficiência para alcançar objetivos","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
15,Supergasbras,Alimentos e Bebidas,"Integridade, Confiança, Curiosidade, Inclusão e Paixão","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
16,Ype,Bens de consumo,"Simplicidade, Humildade, Trabalho com Disciplina, Qualidade, Senso de Dono, Cuidado e Honestidade","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
17,Grupo Dürr,Automação Automotivo,"eficiência, sustentabilidade e inovação","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
18,Ingredion,Agroindustriais,"Cuidado em primeiro lugar, todos pertencem, inovar com ousadia, sermos preferido, ,mentalidade de dono","Inscrição, testes(lógico/inglês), entrevista virtual IA, dinâmica de grupo, entrevista com gestor"
19,Nissan,Automotivo,"diversidade, equidade e inclusão, transparência e humildade, sustentabilidade","Inscrição, dinâmica de grupo, entrevista com gestor"
20,Stellantis,Automotivo,"centrado no cliente, vencemos juntos, somos ágeis, preocupação com o futuro","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
21,Serasa Experian,Tecnologia/dados,"Inovação, diversidade e inclusao, etica e compliance","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
22,Hyundai,Automotivo,"desafios, pessoas, nosso cliente, globalidade, visão do futuro","Inscrição, dinâmica de grupo, Entrevista com os gestores"
23,B3,Financeiro,"Atitude correta para hoje, amanhã e sempre, Abertura e colaboração, Proximidade e satisfação do cliente, Solidez e credibilidade operacional, Ambiente para as pessoas se desenvolverem","Inscrição, testes(lógico/inglês) dinâmica de grupo, entrevista com gestor"
24,tenda,construcao civil,"desfiar o impossivel, realizar sonhos, melhor resultado","Inscrição, testes(lógico/inglês) dinâmica de grupo, entrevista com gestor"
25,Volkswagen,automotivo,"responsabilidade, integridade, solidariedade, orientação ao cliente","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
26,Elera,geração de energia,"sustentabilidade, seguranca, integridade, excelencia","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
27,Raia Drogasil,Saúde,"estar presente e cuidade de perto, relacoes de confianca, visao longo prazo","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo, entrevista do gestor"
28,MDS,Seguros,"orientado ao cliente, profissionalismo, criatividade, colaboração","Inscrição, fit cultural, testes(lógico/inglês), dinâmica de grupo virtual, dinâmica de grupo, entrevista do gestor"
